id,uif,canonical_website,created_at,updated_at,merchant,brand_url,platform,category,project_state,mint,sales_spoc,ms,sales,arr_cr,txns_per_day,aov,split_web_percent,split_mobile_percent,mobile_platform,mobile_category,prepaid_cod_split,mint_notes,project_phase_owner,scoping_kick_off,go_live,age,go_live_percent,project_phase,phase_comment,project_notes,integration_type,customisations,pg_onboarding,ops_comments,phase2_needed,phase2_notes,project_jira,api_qc_checklist,brd_link,go_live_checklist,mint_backup_1763040085698,mid
040f90a6-34fc-4d3e-ae50-6976b348b5da,UID-fossil.com,fossil.com,2026-01-15T12:27:31.286293+00:00,2026-01-22T05:07:17.732661+00:00,Fossil,https://www.fossil.com,Custom,,In Progress,Rishabh,,,,0.26,,,,,,,,,Program - Anil,2026-01-06,2026-02-10,,,Sandbox Testing,,"1. Merchant end AIs are pending and team is working on it - ETA: 23-Jan
•⁠  ⁠Front End Events Integration (‘checkout_close’, ‘order_complete’ and ‘checkout_initiation_failure' are Mandatory)
•⁠  ⁠⁠Transaction Webhook Endpoint
•⁠  ⁠⁠Refund Webhook Endpoint
•⁠  ⁠⁠Update Order API
2. Tech team has completed the Integration, Sandbox testing is completed at our end and provide the Sandbox readiness to the merchant.
3. New UAT Sandbox environment to be configured with the respective url, Waiting for the merchant to share the correct base url.",Checkout Advanced,,,,,,https://gokwik.atlassian.net/browse/GKP-30600,,https://docs.google.com/spreadsheets/d/1qOOx2l6AD1vLsvLlZ1-hAXWMrQJrI4yb0VVxEUAMsXQ/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/13xYvGIoDBL0X3HMehkZKs4sWQ1dt3VV291j_gCuvgzo/edit?gid=1710407485#gid=1710407485,,19x9cqj5gj4c
a680d3ab-341b-4fda-b808-56802e47ac14,UID-in.sirphire.com,in.sirphire.com,2026-01-21T12:02:03.381205+00:00,2026-01-21T12:02:03.381205+00:00,Sirphire,https://in.sirphire.com/,Custom,,,,,,,,,,,,,,,,,2025-12-23,,,,,,,,,,,,,,,,,,
813c6271-2ada-4973-8690-a8ca26bed8e3,UID-bookswagon.com,bookswagon.com,2026-01-21T12:02:51.00847+00:00,2026-01-21T12:02:51.00847+00:00,Bookswagon,https://www.bookswagon.com/,Custom,,,,,,,,,,,,,,,,,2025-12-16,,,,,,,,,,,,,,,,,,
c4df4455-e03a-40c8-94ea-4c82c1d8a231,UID-iamstore.in,iamstore.in,2025-12-04T03:42:54.57667+00:00,2026-01-21T12:09:50.607844+00:00,IAMStore,https://www.iamstore.in/,Custom,Apparels,In Progress,,,,,0.15,100,3000,95,5,,,50/50,"Move under integration - ",Program - Anil,2025-11-24,,,,Integration,Merchant unresponsive,"* BRD review is done and the comments has been updated in the doc.
* Handover is scheduled for 12:30 PM, 20-Jan
* MINT has done the lcnc config, Tech team to test and make GK checkout functional.",Checkout Advanced,No Customisations,,KYC pending,Loyality Points and Wallet Functionality,,https://gokwik.atlassian.net/browse/GKP-30620,,https://docs.google.com/spreadsheets/d/1I2-gvBTFvK9LlHJ-xUzjaue1uaxHOnXx9qIug7frqBc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1drPzVFkkEc3HNjc-sw4QZTr8039Z-XLWCOf_A8HXTpA/edit?usp=sharing,,1967yy2yy267
d2e72baa-7995-4b10-9218-073023ce251e,UID-fingersstore.com,fingersstore.com,2025-11-27T08:16:47.80576+00:00,2026-01-21T05:56:39.494468+00:00,Fingersstore,www.fingersstore.com,Custom,Electronics,In Progress,Piyush,Verun,Ritik Arora,Verun,0.1,100,1100,100,0,,,65-45,,Product,2025-11-21,,6,100,Integration,"15th Jan:

Currently in prod testing, we have enabled discounting engine for this merchant, coupon will be managed on checkout, Freebies will be applied via coupons on the cart and passed as line items in the Get Cart API response.

20st Jan:

-Using GK Discounting engine
-Google Ads connector and Product sync will be picked up in phase 2
-Est work pending - 4 days on merchant's end
-Tentative go-live date: 27th Jan","Vanilla integration
",Advanced,No,EB+PayU,,NO,"Google Ads connector
Product Sync",https://gokwik.atlassian.net/browse/CUST-276,,https://docs.google.com/spreadsheets/d/1XWoGq1pq0MyBCrPCZgpiIMVyVi2CdqtfvLWKFWbi0U8/edit?gid=742755149#gid=742755149,https://docs.google.com/spreadsheets/d/1XWoGq1pq0MyBCrPCZgpiIMVyVi2CdqtfvLWKFWbi0U8/edit?gid=742755149#gid=742755149,,19uplmoy9neh
9e41914e-b9bc-47c2-82f9-0b8117885b74,UID-asus.com,asus.com,2025-11-27T08:16:47.80576+00:00,2026-01-21T06:35:33.399598+00:00,Asus,https://www.asus.com/in/,Magento,Electronics,On-hold,Abhishek,Madhur,Mohit Raysoni,,0.53,20,75000,100,0,,,100-0,,Sales,2025-11-20,,7,100,Scoping,Scoping and API walkthrough done,Vanilla integration,Advanced,No,EB+PayU,,NO,,https://gokwik.atlassian.net/browse/CUST-277,,,,,
65494fe9-74b5-4fb1-8fe5-004db1eecf6c,UID-cureka.com,cureka.com,2025-11-27T08:16:47.80576+00:00,2026-01-21T06:35:33.398761+00:00,Cureka,https://www.cureka.com/,Custom,Healthcare,On- hold,Rishabh,Verun,Mohit Raysoni,,0.18,200,1700,100,0,,,50-50,,Sales,2025-11-19,,8,100,API Build,Scoping in progress,Moving from Shopify to Custom,Advanced,No,EB+PayU,,NO,,https://gokwik.atlassian.net/browse/CUST-275,,,,,
69a5d55d-31a9-43f8-adcd-9c3ad91e3c23,UID-play.google.com,play.google.com,2025-11-27T08:16:47.80576+00:00,2026-01-21T06:35:33.366098+00:00,Handpicked,https://play.google.com/store/apps/details?id=com.sorted.consumerflutterapp&hl=en_IN,Flutter,"Food & Grocery
",Not Started,Arvind,Rohan,Mohit Raysoni,,,5000,600,100,0,,,80-20,,Sales,2025-11-17,,10,100,Feasibility Analysis,App only merchant. determining how VD will be calculated.,App only merchant. determining how VD will be calculated.,Advanced,No,EB+PayU,,NO,,,,,,,
9e781998-42a9-48c0-b028-5449f2e9a093,UID-shop.amul.com,shop.amul.com,2025-11-27T08:16:47.80576+00:00,2026-01-21T07:45:54.90499+00:00,Amul,https://shop.amul.com/en/,Custom,Dairy and Nutrition,On hold,Abhishek,Madhur,Mohit Raysoni,,0.59,1200,1000,90,10,,,100-0,,MINT,2025-11-14,,13,100,Feasibility Analysis,"Awaiting confirmation on solution proposed for Loyalty use case.

Initial scoping and API walkthrough is done.",,,,,,,,https://gokwik.atlassian.net/browse/CUST-269,,,,,
24672680-1de8-47b2-a80d-36c4e96a11fb,UID-livspacehome.com,livspacehome.com,2025-11-27T08:16:47.80576+00:00,2026-01-19T11:21:01.646903+00:00,Livspace,https://www.livspacehome.com/,Custom,Home Decor,In Progress,Abhishek,Saurabh,Mohit Raysoni,,0.1,20,20000,100,0,,,100-0,"Current Status (19th Jan):
Their team is currently discussing with their internal DevOps team the feasibility of exposing the staging frontend URL to external users, as this would require access outside the VPN.
If exposing the staging environment is not feasible, they will need to deploy the SDK changes directly to production and enable testing for specific users on the production demo URL.
The SDK integration work has not been initiated today, as the team is currently addressing cart-related flow issues on their website.
They will share a detailed plan with us tomorrow following their internal discussions.",MINT,2025-11-14,,13,100,API Build,"API validation is completed. SDK integration and BRD signoff pending. Staging URL yet to be received ","Prod URL: https://athfe.as1.livspace.com
Sandbox URL: TBC
API Validation: Completed
SDK Integration: Not started
BRD: Partially completed",Advanced,,,,,,https://gokwik.atlassian.net/browse/CUST-270,,,,,19u5u9kt1urj
